Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
82	-174.46017	48.832684	-123.37319	-225.08784	1000.0	-17.281567	4.804819	-11.951699	-23.6567	332000	2.2888184e-08	0.03344175	0.008672517	-0.017362148	6.433032	0.023982761	0.3325	1.0	436.1144812107086
83	-27.384039	40.075447	6.2752233	-103.719536	594.8333	-4.364576	4.42973	8.741565	-11.118792	336000	1.0490417e-08	1.4251876	0.002525402	-0.7315815	6.4156156	0.045281757	0.29725	2.0	440.9302394390106
84	-76.68119	65.99161	3.2397487	-180.09741	791.25	-7.592254	6.698136	5.208004	-20.68702	340000	-9.059906e-09	1.5613248	-0.014479789	-1.411195	6.40008	0.0056162155	0.11725	79.0	446.03037905693054
85	-58.40674	69.59983	6.2723255	-175.65594	790.0	-8.400057	6.5295143	8.186156	-20.835682	344000	-2.2888184e-08	0.14668015	-0.00557967	-0.07421347	6.3539977	0.011414244	0.15775	3.0	450.8926103115082
86	-92.71936	86.85937	5.9573984	-232.10785	797.25	-11.046713	8.1836195	4.596474	-29.756496	348000	-4.005432e-08	5.6118717	-0.018909017	-5.2600884	6.435897	0.008255669	0.101	79.0	455.8798620700836
87	-37.353592	28.36732	3.1220927	-70.68136	817.5	-6.8067675	6.8742523	6.589339	-26.625282	352000	1.1444092e-08	2.562055	-0.009962461	-0.7491859	6.3935575	0.016237177	0.19875	12.0	460.8432238101959
88	-48.90934	62.06773	9.600969	-160.45763	659.4	-9.58098	8.740158	7.32964	-31.406178	356000	2.6226044e-08	9.286933	-0.020655617	-7.1221004	6.350116	0.008777713	0.1205	79.0	465.8045608997345
89	-53.56217	63.107918	8.44296	-158.96552	787.75	-7.8564677	7.7059407	3.6679904	-21.347448	360000	7.629395e-09	3.8866677	-0.015344107	-3.4340053	6.3610516	0.0076767267	0.10075	79.0	471.04219675064087
90	-109.56868	78.358025	0.7295576	-204.65062	791.75	-13.253542	5.4212327	3.377167	-26.686491	364000	-6.6757204e-09	3.0155013	-0.018010363	-2.9297554	6.3184204	0.012811488	0.1575	79.0	476.70694732666016
91	-88.265785	98.10618	2.25975	-231.30717	633.2	-11.044631	9.987736	8.187146	-29.685303	368000	1.9073486e-08	3.5722353	-0.018426191	-2.972318	6.2830524	0.0061536324	0.16875	79.0	481.83328771591187
